"BUDGET_YEAR","BUDGET_MONTH","GROUP_ID_MAIN_DESC","CASE_AMT","TREASURY_AMT","UPDATE_DATE"
"2565","ธันวาคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2566","ธันวาคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2567","ธันวาคม","พรมและสิ่งทอปูพื้น","0","0","2566-09-05"
"2563","ธันวาคม","ยาสูบ","23063257.1","13848435.23","2566-09-05"
"2564","ธันวาคม","ยาสูบ","15686183","9414976.09","2566-09-05"
"2565","ธันวาคม","ยาสูบ","19873609.944","11926275.8","2566-09-05"
"2566","ธันวาคม","ยาสูบ","23403467.97","14084855.54","2566-09-05"
"2567","ธันวาคม","ยาสูบ","0","0","2566-09-05"
"2563","ธันวาคม","รถจักรยานยนต์","5856082.2","3513649.31","2566-09-05"
"2564","ธันวาคม","รถจักรยานยนต์","2825706.48","1695423.88","2566-09-05"
"2565","ธันวาคม","รถจักรยานยนต์","2321731.85","1393039.11","2566-09-05"
"2566","ธันวาคม","รถจักรยานยนต์","2605066","1567039.6","2566-09-05"
"2567","ธันวาคม","รถจักรยานยนต์","0","0","2566-09-05"
"2563","ธันวาคม","รถยนต์","3002570","1804602","2566-09-05"
"2564","ธันวาคม","รถยนต์","3907006.25","2344203.75","2566-09-05"
"2565","ธันวาคม","รถยนต์","2055360","1233216","2566-09-05"
"2566","ธันวาคม","รถยนต์","3665167.22","2200700.33","2566-09-05"
"2567","ธันวาคม","รถยนต์","0","0","2566-09-05"
"2563","ธันวาคม","สถานอาบน้ำหรืออบตัวและนวด","2000","1600","2566-09-05"
"2564","ธันวาคม","สถานอาบน้ำหรืออบตัวและนวด","10000","10000","2566-09-05"
"2565","ธันวาคม","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2566","ธันวาคม","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2567","ธันวาคม","สถานอาบน้ำหรืออบตัวและนวด","0","0","2566-09-05"
"2565","ธันวาคม","สนามกอล์ฟ","0","0","2566-09-05"
"2566","ธันวาคม","สนามกอล์ฟ","0","0","2566-09-05"
"2567","ธันวาคม","สนามกอล์ฟ","0","0","2566-09-05"
